ru,en,predictions,comet_score
Результаты.,MATERIAL AND METHODS,Материал и методы.,0.718302309513092
"Неоднородность изменений когнитивных процессов и структуры их корреляций с психопатологической симптоматикой при тревожных расстройствах проявлялась в снижении отдельных показателей когнитивных процессов при легких тревожных расстройствах, нарастании проявлений когнитивных дисфункций и количества корреляций при усложнении психопатологической картины, а также в интактности процессов соотнесения различных частей внутри целого в отсутствии внешнезаданного образца.","The heterogeneity of changes in cognitive processes and the structure of their correlations with psychopathological symptoms in anxiety disorders was revealed as follows: a decrease in some parameters of cognitive processes in anxiety disorders with mild structure, an increase in cognitive dysfunction and in a number of correlations in anxiety disorders with more complex psychopathological picture, higher scores on the WAIS Block design task.",Выявлена гетерогенность изменений когнитивных процессов и структуры их корреляций с психопатологическими симптомами при трево,0.7168083786964417
"Применение систем автоматизированного статистического анализа изображений в судебной медицине позволяет получить результаты, имеющие практическую и научную ценность.",It is concluded that the application of the systems for the automated statistical analysis of the images for the purposes of forensic medical expertise would allow to obtain the results of great practical and scientific value.,Использование систем для автоматизированного статистического анализа судебно-медицинской экспертизы позволило получить препар,0.716785192489624
Цель исследования — психофизиологический мониторинг организма женщин-педагогов пожилого возраста в динамике учебного года.,[Psychophysiological monitoring of women teachers at the turn of the body of middle and old age.]  Objective - to create and hold psychophysiological monitoring elderly organism female teachers in the school year dynamics.,Цель исследования - сформировать и проведение психофизиологического мониторинга пожилых пожилых пациентов в хронической группе,0.7147429585456848
Осложнений после реконструктивных вмешательств не отмечено.,There were no complications after reconstructive surgery.,Осложнений после операционной хирургической хирургической хирургии не отмечено.,0.7139069437980652
Результаты и обсуждение.,MATERIAL AND METHODS,Материал и методы.,0.7133850455284119
Расположение гребней сдвига на поверхности разрыва позволяет выявить направление роста местного основного разрыва и вектора удара.,The location of the shear ridges at the ruptured surface makes it possible to determine the direction of growth of the local major rupture and of the stroke vector.,Распространение гребных гребцов на поверхности разрыва позволяет определить направление развития локальной существенной разры,0.7124607563018799
"МР-трактография дает информацию о направлении и степени смещения или деструкции кортикоспинального тракта, проходящего во внутренней капсуле и стволе мозга, позволяет уточнять расположение опухоли в пределах подкорковых узлов.",MR tractography provides information on the course and dislocation or destruction extent of the corticospinal tract running in the internal capsule and brainstem and clarifies the exact location of a tumor within the basal ganglia.,"МР-трактография дает информацию о течении и дислокации и величине деструкции кортикоспинального тракта, проходящего в внутрен",0.712250828742981
"Реализовано большое количество образовательных мероприятий, социальных проектов, позволивших улучшить осведомленность о проблемах деменции как в медицинской среде, так и в обществе в целом.","Many multi-central studies involving 1250 patients with cognitive impairment were conducted A great number of educational activities, social projects that helped to increase awareness of dementia issues in medical community as well as society in general were implemented.","Выполнено большое количество образовательных действий, социальных проектов, позволивших повышению информации деменций в групп",0.7117399573326111
"Обследованы 99 пациентов (основная группа) с различными патогенетическими подтипами ИИ: атеротромботическим (74 пациента), кардиоэмболическим (15), лакунарным (10).","A total of 99 patients (study group) with different types of ischemic stroke (IS): with atherothrombotic variant (n=74) IS, with cardioembolic (n=15) with lacunar type (n=10).",Обследованы 99 пациентов (основная группа) с различными типами ишемического инсульта (ИИ): с атеротромботическим вариантом (74 челов,0.7117009162902832
"Изучить влияние мексидола (этилметилгидроксипиридина сукцината) на экспрессию фактора, индуцируемого гипоксией (HIF-1α), в коре лобной доли больших полушарий головного мозга при его ишемии.",The aim of the research - to study the Mexidol (ethylmethylhydroxypyridine succinate) effect on the factor induced by hypoxia (HIF-1α) expression in the frontal cortex of the brain in its ischemia.,"Цель исследования - изучение влияния мексидола (метилгидроксипиридина сукцината) на экспрессию фактора, индуцированного гипокси",0.7110838890075684
Обследован 41 пациент с наличием дистальной симметричной сенсомоторной полинейропатии на фоне сахарного диабета 2-го типа.,Forty-one patients with diabetes mellitus type 2 and distal symmetric sensorimotor polyneuropathy were examined.  Patients were divided into 2 groups.,"Обследовали 41 пациента с дистальным дистальным симметрическим полинейропатическим полинейропатитом, которые были разделены на",0.7095516920089722
"Выявлены связи между интенсивностью и продолжительностью АБ в фазу атаки М (k=0,59), интенсивностью ассоциированной боли в животе с тяжестью дезадаптации (k=0,59), а также интенсивностью абдоминальной боли в болевую фазу и межприступный период (k=0,65).","The intensity and frequency of abdominal pain did not depend on organic pathology of the digestive system.  Correlations between the intensity and duration of abdominal pain during the migraine attack phase (k=0.59), between the intensity of associated pain and maladjustment severity (k=0.59), and also between the abdominal pain intensity during the painful phase and in the interictal period were identified.","Выявлены связи между интенсивностью и продолжительностью артибровой боли в фазе атака мигрени (k=0,59), интенсивностью ассоцииров",0.7091104388237
"Отсутствие лечения НПВП при ХНБС определялось поздним возрастом, наличием коморбидных состояний, неалкогольной жировой болезнью печени и ожирением.","Absence of NSAIDs administration in CBP was associated with older age, the presence of comorbidites, with non-alcoholic fatty liver disease and obesity.","Отсутствие применения НПВП при ХБП ассоциировалось с пожилым возрастом, наличием коморбидных синдромов, неалкогольной жировой",0.7089430093765259
"Гидрогальванические ванны оказывают обезболивающее, противовоспалительное, противоотечное действие, улучшают микроциркуляцию и способствуют регрессу чувствительных нарушений.","At present, one of the most promising approaches to its clinical applications is the treatment of lumbosacral radiculopathy caused by degenerative vertebral disk lesions.  The hydrogalvanic baths have analgesic, anti-inflammatory, and decongestant effects, improve microcirculation, and reduce sensory impairment.","В настоящее время гидрогальванические ванны имеют анальгетические, противовоспалительные и деконгентные эффекты, улучшают мик",0.7079104781150818
При блокаде мелатониновых рецепторов Лузиндолом динамика старения репродуктивной системы соответствовала таковой в контрольной группе при стандартном освещении.,"In case of the blockade of melatonin receptors by luzindol, the dynamics of aging of reproductive system corresponded to the one in the control group kept in standard lightning mode.",В случае блокадки мелатониновых рецепторов люзиндолом динамика старения репродуктивной системы соответствовала данной в контр,0.7068087458610535
"Определяли в крови и миокарде геном парвовируса В19, вирусов герпеса 1, 2 и 6-го типов, Эбштейна-Барр (ВЭБ), zoster, цитомегаловируса, при наличии антител в крови - вирусов гепатитов В и С, а также антитела к антигенам эндотелия, кардиомиоцитов и их ядер, гладкой мускулатуры, волокон проводящей системы.","The investigators determined the genomes of parvovirus B19, herpes viruses types 1, 2 and 6, Epstein-Barr (EBV), zoster, and cytomegalovirus in the blood and myocardium and, if antibodies were present in the blood, hepatitis B and C viruses, as well as antibodies against antigens in the endothelium, cardiomyocytes and their nuclei, smooth muscles, fibers of the conducting system.","Исследования определили геном парвовируса В19, вирусов герпеса 1, 2 и 6-го типов, Эпштейн-Барр (ВЭБ), зостер, цитомегаловируса в кров",0.7053115963935852
Введение.,[Comparative analysis of the effectiveness of various techniques of endoscopic prostate enucleation in a single center].  AIM,Цель исследования.,0.7044735550880432
Цель исследования.,AIM,Материал и методы.,0.7042547464370728
Материалы и методы.,RESULTS  The study group showed a considerable increase in body weight and BMI after 6 and 9 months.,Результаты и заключение.,0.7042325139045715
"Определение уровня экспрессии TLR2 и TLR9 в миокарде может служить ИГХ-маркером наличия миокардита и сохранения его активности, что особенно ценно у больных с пограничными формами.","Determination of the myocardial expression level of TLR2 and TLR9 may serve as an immunohistochemical marker for myocarditis and preservation of its activity, which is especially valuable in patients with borderline forms.",Определение уровня экспрессии TLR2 и TLR9 может служить иммуногистохимическим маркером для миокардии с хроническим миокардитом и,0.703733503818512
"Контрольную группу составили 76 добровольцев с нормальным углеводным обменом и без признаков сердечно-сосудистой патологии (52,2±8,70 года, 40,8% мужчин, HbA1с 5,3±0,49%).","A control group consisted of 76 volunteers (40.8% of men) aged 52.2±8.7 years with normal carbohydrate metabolism and without signs of cardiovascular disease (HbA1с, 5.3±0.49%).","Контрольную группу составили 76 добровольцев (40,8% мужчин) в возрасте 52,2±8,7 года с нормальным карбогидратным метаболическим метод",0.7027818560600281
Цель - оценить диагностическое и прогностическое значение аллелей антигенов гистосовместимости (HLA) класса 1 в развитии передних увеитов.,[Uveitis-associated HLA class 1 histocompatibility antigens].  AIM  to evaluate the diagnostic and prognostic significance of HLA class 1 histocompatibility antigens in the development of anterior uveitis.,Цель исследования - оценка диагностического и прогностического значения антигенов HLA 1-го класса в развитии переднего переднего,0.7011556625366211
"В ходе работы в обеих группах исследования отмечено повышение уровня CRP в раннем послеоперационном периоде с возвращением к исходному через 6 месяцев после операции, повышение концентрации эндотелина-1 через 6 месяцев после операции, снижение концентрации sE-selectin в раннем послеоперационном периоде.","Within the time frame of the study, patients in both groups were found to have an elevated CRP level in the early postoperative period, having returned to the baseline values at 6 postoperative months, as well as an increase in the concentration of endothelin-1 at six months after surgery and a decrease of the sE-selectin concentration in the early postoperative period.","В сроки исследования выявлено, что в обеих группах в раннем послеоперационном периоде у пациентов выявлено повышение уровня CRP,",0.7005739808082581
"Первую группу составили больные, которых лечили в период с 1963 по 2000 г. (297 больных), вторую - с 2001 по 2015 г.  (831 человек).","1128 patients with tracheal cicatricial stenosis were treated for the period 1963-2015.  The first group consisted of 297 patients for the period 1963-2000, the second group - 831 patients for the period 2001-2015.","Первую группу составили 207 пациентов с периодом периода с 1963 по 2000 г., с первую группу - 831 пациентов с периодом с 2001 по 2015 г. с периодом",0.6987252831459045
"В статье отражены результаты сравнительного двухлетнего проспективного исследования, включающего 276 человек с факторами риска (ФР) и доклиническими стадиями (ДС) атеросклероза в возрасте от 40 до 65 лет с умеренным риском по шкале SCORE.",[Optimization of the algorithm for the detection and the differential non-pharmacological correction of the risk factors and the preclinical stages of atherosclerosis at the level of the health resort-based primary care].  This article presents the results of a comparative prospective study of 276 subjects at the age between 40 and 65 years presenting with risk factors (RF) of atherosclerosis and its preclinical stages (APC).,В статье представлены результаты сравнительного проспективного исследования 276 человек в возрасте от 40 до 65 лет с факторами риск,0.6979966759681702
В связи с этим дать однозначный ответ об эффективности какого-либо метода не представляется возможным.,"Therefore, it is impossible to give an unambiguous answer as regards the effectiveness of one or another method for the diagnostics and treatment of this condition.",В связи с этим необходимо дать одномоментный ответ о эффективности какого-либо метода для применения диагностики и лечения по,0.6976771354675293
"В содержании фосфатидилинозитола, фосфатидилсерина и сфингомиелина существенных изменений не наблюдалось.","No significant changes in the content of phosphatidylinositol, phosphatidylserine and sphingomyelin were observed.","В содержании фосфатилиноситола, фосфатидилсерина и флоффлоплентной флосформы не наблюдалось. Не отмечено существенных изменен",0.6975119113922119
Изучить связь полиморфного маркера –3279 C>A гена FOXP3 с риском развития саркоидоза легких (СЛ) и оценить уровень транскрипции этого гена у носителей разных генотипов по данному полиморфному маркеру.,AIM  To investigate the association of the polymorphic marker -3279 C>A of the FOXP3 gene with the risk of pulmonary sarcoidosis (PS) and to estimate the transcription level of this gene in the carriers of different genotypes of this polymorphic marker.,Изучение связи полиморфного маркера –3279 С>A гена FOXP3 с риском развития хронического саркоидоза легочной группы (ФС) и оценка у,0.6967921853065491
"Объем четырехглавой мышцы и площадь поперечного сечения больше увеличились в младшей группе (р<0,05).","Quadriceps muscle volume and cross-sectional area increased more in the younger group (p<0,05).","Объем мышечных мышц и площадь пересечного сечения больше увеличились в младшей группе препаратов при хронической проблеме (p<0,",0.6954466700553894
"Применяемые психотерапевтические методы могут быть отнесены к поведенческому, когнитивному, гуманистическому, комбинированному или альтернативному подходам.",Presented is a review of the use of psychotherapy and psychological intervention methods in treatment and rehabilitation of patients with multiple sclerosis (MS).,Представлен обзор применения психотерапевтических и психологических вмешательств при лечении и реабилитации больных с различн,0.6951964497566223
"Прием препарата адаптол оказывает положительный эффект, значительно снижая уровень тревоги и астении у пациентов с фокальными мышечными дистониями.","Asthenic syndrome and anxiety disorder are independent non-motor manifestations of focal muscular dystonia.  Adaptol has a positive effect, significantly reducing anxiety and asthenia in patients with focal muscular dystonia.","Адаптол оказывает положительный эффект, значительно снижая тревожность и астеническую терапию у пациентов с хроническими груп",0.6941218376159668
"НС связаны с частотой, выраженностью и локализацией ГБ.","SD are often connected with HA, with their frequency, expressiveness and localization.","НС часто связаны с частотой, выраженностью и хронической хронической черепностью.",0.6939519643783569
"Опрошены 1115 жителей Чувашии (491 мужчина и 624 женщины) в возрасте от 18 до 70 лет (средний возраст 38,7±13,9 года), в том числе 690 горожан и 425 жителей сельской местности.","1115 inhabitants of Chuvashia (491 men and 624 women) aged from 18 to 70 years old have been interviewed (middle age 38.7±13.9 years old); respondents under 18 and over 70 years old were not included into the research.  There were 690 city residents, and 425 residents of the rural areas.","Опросникованы 1115 жителей Чувашии (491 мужчина и 624 женщины) в возрасте от 18 до 70 лет (средний возраст 38,7±13,9 года), не включены в случаи",0.6932974457740784
"Представлен обзор исследований церебральных венозных тромбозов (ЦВТ) у женщин, использующих гормональные контрацептивы.",[Dipyridamole in the treatment and prevention of cerebral venous thrombosis in women using hormonal contraceptives].  The review covers the topic of cerebral venous thrombosis (CVT) in women taking hormonal contraceptives.,"В обзоре представлена тактика хирургического лечения венозного тромбоза (ЦВТ) у женщин, перенесших верхнюю венозную тромбозную",0.6920477747917175
"Комплексная оценка и сопоставление активности протекающих процессов при развитии острой локальной ишемии головного мозга (некроз, апоптоз, аутоиммунная воспалительная реакция, нейропластичность) могут позволить объективизировать и прогнозировать индивидуальные особенности течения и исхода ишемического инсульта.","A complex assessment and comparison of the processes taking place during the development of acute local cerebral ischemia (necrosis, apoptosis, autoimmune inflammatory reaction, neuroplasticity) can help in the objectification and prognosis of individual characteristics of the course and outcome of ischemic stroke.","Комплексная оценка и сопоставление процессов, проходящих во время развития острой локальной ишемии головного мозга (некроз, ап",0.6918453574180603
"Цель исследования - разработка метода хирургического лечения гнойных язв роговицы, развившихся на фоне нейропаралитического кератита после удаления невриномы слухового нерва и инсультов.",OBJECTIVE  The study objective was to develop a method for surgical treatment of advanced purulent corneal ulcer in the setting of neuroparalytic keratitis developed after acoustic neuroma removal and strokes.,Цель исследования - разработка метода хирургического лечения гнойной язвы роговицы роговицы на фоне нейропаралитической группы,0.6917044520378113
"Проведение пульсоксиметрического скрининга во время ночного сна у храпящих пациентов с подозрением на СОАС в сочетании с оценкой возраста, пола, ИМТ, сопутствующей патологии ЛОР-органов, ретро- и микрогнатии позволяет прогнозировать степень тяжести заболевания и может служить основой для разработки программы скрининга СОАС.","Pulse oximetry screening during nocturnal sleep in snoring patients with suspected OSAS in combination with an assessment of age, sex, BMI, ENT comorbidity, retro- and micrognathia can predict the severity of the disease and serve as a basis for elaborating an OSAS screening program.","Пульсоксиметрический скрининг во время ночного сна у пациентов с признаковыми признаками ОАС в сочетании с оценками возраста,",0.6910029053688049
"Представлен алгоритм комплексной ранней диагностики когнитивных нарушений, обсуждены возможности и перспективы клинико-нейропсихологических, лабораторных и нейровизуализационных методов обследования.","The modern conception of the pathophysiology of initial stages of cognitive impairment, the potential for lifetime pathological markers of amyloidosis and neurodegeneration are discussed.  The authors proposed to use the concept of 'early signs of cognitive impairment'.","Представлены современные представления патофизиологии начальных стадий когнитивных нарушений, возможности проведения патологи",0.6907678842544556
При сочетании этих двух факторов выздоровление наблюдалось в 100% случаев.,"With a combination of these two factors, recovery was observed in 100% of cases.",При сочетании этих двух факторов высокое восстановление было в 100% случаев больных в зависимости от более выраженной статистичес,0.6902779936790466
При безуспешности интенсивной терапии и минимально инвазивных вмешательств при тяжелом остром панкреатите прибегают к 'открытым' хирургическим вмешательствам.,INTRODUCTION  With the unsuccessfulness of an intensive therapy and minimally invasive interventions in severe acute pancreatitis they resort to the 'open' surgical interventions.,При безуспешности интенсивной терапии и минимально инвазивных вмешательств при тяжелом остром панкреатите при хирургическом в,0.6897830963134766
Обсуждение.,DISCUSSION,Обследование.,0.6887986063957214
"Таким образом, в сельских районах Омской области высока распространенность стоматологических нозологических форм, требующих ортопедической стоматологической реабилитации.",Thus the study showed high prevalence of dental pathology that require prosthetic dental rehabilitation in rural areas of the Omsk region.,"При этом исследовании выявлена высокая распространенность патологии стоматологии, требующей оптической стоматологической помо",0.6882469058036804
"Экспрессия мРНК ТИМП-2 была достаточно выражена как в опухолевой ткани, так и в нормальных тканях до дна полости матки.",The expression of TIMP-2 mRNA was sufficiently obvious in both the tumor and normal tissues to the bottom of the uterine cavity.,"Экспрессия мРНК ТИМП-2 была достаточно выражена как в хронической, так и в нормальной тканях до дна полости полости материи в",0.6876649260520935
"В исследование отобрано 30 образцов биоптата тройного негативного РМЖ от пациенток, прошедших предоперационное химиотерапевтическое и далее оперативное лечение.",Thirty biopsy specimens from triple-negative BC patients who had conventionally received preoperative chemotherapy followed by surgery were selected in the investigation.,"В исследование были включены 30 препаратов биопсии из трехх негативных пациентов, которым выполняли предоперационную химиотерап",0.6866676211357117
"На этапе тяжелых двигательных нарушений во всех группах произошло восстановление функции проксимальных отделов руки, ни одна из методик статистически значимого преимущества не продемонстрировала.","At a stage of severe motor dysfunction, there was a restoration of proximal departments of a hand in all groups, neither method was superior to the other.","На этапе тяжелой двигательной двигательной дисфункции проведено восстановление проксимальных отделений руки во всех группах,",0.6866066455841064
"Основные неблагоприятные кардиальные исходы, включающие смерть, рецидив инфаркта и тромбоз стента, чаще определялись у пациентов с гипергликемией (7,6 и 4,3%; р=0,020).","Major adverse cardiac events, including death, recurrent infarction, and stent thrombosis, were more frequently determined in the hyperglycemic patients (7.6 and 4.3%; p=0.020).","Основные неблагоприятные кардиальные исходы, включающие смерть, рецидив инфаркта и стент-тромбоз, чаще определялись у пациент",0.6848146915435791
"Лишь у 20% больных окклюзии вен сохранялись, что потребовало дальнейшего наблюдения и лечения.","Only 20% of infants were found to have vein occlusion preserved, thus requiring further follow up and treatment.","Только у 20% больных выявлено сохранение оккклюзии вен в хронической группе, что требует дальнейшего наблюдения и требует проход",0.6840967535972595
"АСИТ является разумным, высокоэффективным и в конечном счете экономичным методом лечения больных атопической БА.","ASIT is a reasonable, highly effective and ultimately cost-effective treatment in patients with atopic asthma.","АСИТ является значительным, высокоэффективным и конечным методом выполненного лечения пациентов с хронической хронической хро",0.6836417317390442
"На развитие НС у респондентов с ГБ влияют наличие сопутствующих болезней, возраст, пол и место жительства.","Development of SD from HA are influenced by existence of concomitant diseases, age, gender and the place a residence.","На развитие НС у пациентов с ГБ влияют наличие сопутствующих заболеваний, возраст, возраст, степени существенность, степень с",0.6833381056785583
"Гистологическое исследование, дополненное иммуногистохимическими реакциями с антителами к виментину, S100-протеину, нейронспецифической энолазе, а также Ki-67 и гладкомышечному актину, подтвердило нейральную природу образования.","Histological examination supplemented by immunohistochemical reactions with antibodies to vimentin, S100 protein, neuron-specific enolase, as well as Ki-67 and smooth muscle actin confirmed the neural nature of the tumor.","Гистологическое исследование, дополненное иммуногистохимическими реакциями с антителами к вимментину, S100-белку, нейронспецифич",0.6830844283103943
В статье освещены история создания кафедры курортологии и физиотерапии (с курсом медицинской реабилитации) Военно-медицинской академии им.  С.М. Кирова и этапы ее развития.,[The department of balneology and physical medicine of the S.M. Kirov's Military-medical academy 75 years anniversary].  The article highlights the history of the creation of the Department of balneology and physiotherapy at the S.M. Kirov Military-medical academy and the stages of its development.,В статье освещена история создания кафедры балнеологии и физиотерапии в хрони препарата С.М. Кировского военно-медицинской ак,0.6806522011756897
При хирургическом лечении патологии лобных пазух методом выбора является эндоскопическая эндоназальная фронтотомия.,[The differential approach to the surgical treatment of pathologies of the frontal sinus].  The surgical intervention for the management of frontal sinusitis is required in a large fraction of patients presenting with this condition.,В хронической хронической хирургической лечении патологии лобной синуской пазухи требуется применение хирургического лечения,0.6800598502159119
"На фоне 5-летней терапии варфарином отмечено достоверное снижение СКФ с 97,1±24,85 до 91,9±28,9 мл/мин/1,73 м2, при этом быстрое прогрессирование потери функции почек (СКФ ≥3 мл/мин/1,73 м2/год) регистрировалось у 25,9% больных.","During 5-year warfarin therapy, there was a significant decrease in GFR from 97.1±24.85 to 91.9±28.9 ml/min/1.73 m2; at the same time, a rapidly progressive loss of renal function (GFR ≥3 ml/min/1.73 m2/year) was recorded in 25.9% of the patients.","Во время 5-летней терапии варфарином отмечено достоверное снижение СКФ с 97,1±24,85 до 91,9±28,9 мл/мин/1,73 м2, в то же время у пациенто",0.6782442927360535
"Адъювантная терапия показана больным с высоким риском прогрессирования заболевания при условии выявления мутаций, указывающих на чувствительность опухоли к таргетным препаратам.",It was concluded that surgical treatment is preferred for patients with resectable GISTs.  Adjuvant therapy is indicated in patients with high risk of progression if mutations indicating tumor sensitivity to the drugs are revealed.,"Адъювантная терапия показана у пациентов с высоким риском прогрессирования при выявлении мутаций, указывающих выраженность в",0.6779007911682129
В результате позиционирования потребительских предпочтений использования минеральных вод были установлены лидеры в группе лечебных и лечебно-столовых минеральных вод.,The evaluation of the positioning of the mineral water consumers' preferences made it possible to identify the most preferable products in the group of medicinal mineral waters and in the group of medicinal table mineral waters.,Исследование показателей потребителей минеральной воды позволило выявить наиболее препараты в группе лечебных минеральных вод,0.6769446730613708
"В исследование включили 99 пациентов русской национальности, проживающих в Республике Карелия, у которых установлен диагноз персистирующего СЛ (средний возраст 45,41±1,31 года) и 116 здоровых доноров контрольной группы (средний возраст 42,06±1,30 года).","The investigation included 99 patients of Russian ethnicity (mean age, 45.41±1.31 years) living in the Republic of Karelia, who were diagnosed with persistent PS, and 116 healthy donors (mean age, 42.06±1.30 years) in the control group.","В исследование включены 99 пациентов российской национальности (средний возраст 45,41±1,31 года), проживающих в Республике Карелия, ди",0.675994336605072
"Риск развития инсульта был выше у мужчин с начальным уровнем образования (HR=8,8), у вдовых мужчин (HR=8,4) и разведенных мужчин (HR=2,7).","Among the men, the risk of stroke was higher in those who had primary education (HR=8.8), were widowed (HR=8.4) or divorced (HR=2.7).","Среди мужчин риск развития инсульта был выше у пациентов с первичным уровнем образования (HR=8,8), у пациентов с хронической групп",0.6747819781303406
"Наиболее частый вариант нейрогенной дисфункции мочевого пузыря у детей — гиперрефлекторный; именно при нем наблюдаются выраженные расстройства уродинамики, обусловленные внутрипузырной гипертензией и гипоксией детрузора.",The most frequent variant of neurogenic dysfunction of the bladder in the children is the hyper-reflexive one; it is this variant in which the most pronounced disorders of urodynamics due to intravesical hypertension and detrusor hypoxia are observed.,"Наиболее частым вариантом нейрогенной дисфункции мочевого пузыря у детей является гиперррефлективная, в том числе наблюдается",0.6737246513366699
"Предполагается, что качественный или количественный дефицит определенных компонентов питания во время раннего развития может приводить к возникновению адаптаций, способствующих увеличению выживаемости в пренатальном и в раннем постнатальном периодах онтогенеза.","It is assumed that the qualitative or quantitative deficiency of certain nutritional components during an early development may lead to the adaptations that contribute to improved survival during the prenatal and early postnatal periods of an ontogenesis.  However, the consequence of such adaptive changes may also be the development of various pathological processes at the later stages of life.","Предполагается, что качественный или количественный дефицит определенных компонентов печения во время раннего развития может",0.673648476600647
"Всем пациентам была выполнена трансназальная пластика дефекта основания черепа, из них в 13 из 15 случаев с одномоментным удалением опухоли.","All patients underwent transnasal reconstruction of a skull base defect, with 13 out of 15 patients undergoing simultaneous resection of the tumor.","Всем пациентам проводилась трансназальная реконструкция дефицита основы черепа, из которых 13 из 15 человек проходили одновременн",0.6727903485298157
"Приведена информация о современных прогностических моделях, позволяющих количественно оценить вероятность возникновения геморрагических и тромботических событий (Vienna prediction model, DASH, HAS-BLED, стратификация по ACCP 2016).","The information on modern prognostic models allowing quantitative assessment of the probability of hemorrhagic and thrombotic events occurrence is presented (Vienna prediction model, DASH, HAS-BLED, stratification according to ACCP 2016).  Particular attention is paid to the effectiveness and safety of new oral anticoagulants and acetylsalicylic acid in the context of secondary prevention of deep vein thrombosis and pulmonary embolism.","Представлена информация о современных прогностических моделях, позволяющих количественно оценивать вероятность возникновения",0.6711717247962952
